# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
    72.000    83.055    68.590    83.127   107.771   0.000E+00    54.334    31.367    27.721
    72.250    82.911    68.468    82.983   107.583   0.000E+00    54.240    31.308    27.673
    72.500    82.768    68.348    82.840   107.396   0.000E+00    54.145    31.250    27.625
    72.750    82.626    68.227    82.697   107.209   0.000E+00    54.051    31.192    27.578
    73.000    82.484    68.108    82.556   107.024   0.000E+00    53.958    31.134    27.530
    73.250    82.343    67.989    82.415   106.839   0.000E+00    53.865    31.076    27.483
    73.500    82.203    67.870    82.275   106.656   0.000E+00    53.772    31.019    27.436
    73.750    82.064    67.753    82.135   106.473   0.000E+00    53.680    30.962    27.390
    74.000    81.925    67.636    81.996   106.292   0.000E+00    53.589    30.906    27.344
    74.250    81.787    67.519    81.858   106.111   0.000E+00    53.498    30.850    27.298
    74.500    81.650    67.403    81.720   105.931   0.000E+00    53.407    30.794    27.252
    74.750    81.513    67.288    81.583   105.752   0.000E+00    53.317    30.739    27.206
    75.000    81.377    67.174    81.447   105.575   0.000E+00    53.227    30.683    27.161
    75.250    81.242    67.060    81.312   105.398   0.000E+00    53.138    30.629    27.116
    75.500    81.107    66.946    81.177   105.222   0.000E+00    53.049    30.574    27.071
    75.750    80.973    66.833    81.043   105.046   0.000E+00    52.961    30.520    27.026
    76.000    80.840    66.721    80.910   104.872   0.000E+00    52.873    30.466    26.981
    76.250    80.707    66.610    80.777   104.699   0.000E+00    52.785    30.413    26.937
    76.500    80.575    66.499    80.645   104.526   0.000E+00    52.698    30.359    26.893
    76.750    80.444    66.388    80.514   104.354   0.000E+00    52.612    30.306    26.849
    77.000    80.313    66.278    80.383   104.183   0.000E+00    52.526    30.254    26.806
    77.250    80.183    66.169    80.252   104.013   0.000E+00    52.440    30.201    26.762
    77.500    80.054    66.060    80.122   103.844   0.000E+00    52.355    30.149    26.719
    77.750    79.925    65.952    79.993   103.675   0.000E+00    52.270    30.098    26.676
    78.000    79.797    65.844    79.864   103.507   0.000E+00    52.185    30.046    26.633
    78.250    79.669    65.737    79.736   103.340   0.000E+00    52.101    29.995    26.591
    78.500    79.542    65.630    79.609   103.174   0.000E+00    52.018    29.944    26.548
    78.750    79.416    65.524    79.482   103.009   0.000E+00    51.934    29.893    26.506
    79.000    79.290    65.418    79.356   102.844   0.000E+00    51.852    29.843    26.464
    79.250    79.165    65.313    79.231   102.681   0.000E+00    51.769    29.793    26.422
    79.500    79.040    65.209    79.106   102.518   0.000E+00    51.687    29.743    26.381
    79.750    78.916    65.104    78.982   102.356   0.000E+00    51.605    29.693    26.339
    80.000    78.793    65.001    78.859   102.195   0.000E+00    51.524    29.644    26.298
    80.250    78.670    64.898    78.736   102.035   0.000E+00    51.443    29.595    26.257
    80.500    78.548    64.795    78.614   101.875   0.000E+00    51.363    29.546    26.216
    80.750    78.426    64.693    78.492   101.717   0.000E+00    51.283    29.498    26.176
    81.000    78.305    64.591    78.371   101.559   0.000E+00    51.203    29.449    26.135
    81.250    78.185    64.490    78.251   101.401   0.000E+00    51.123    29.401    26.095
    81.500    78.065    64.390    78.131   101.245   0.000E+00    51.044    29.353    26.055
    81.750    77.945    64.289    78.012   101.089   0.000E+00    50.966    29.306    26.015
    82.000    77.826    64.190    77.893   100.934   0.000E+00    50.887    29.258    25.976
    82.250    77.708    64.090    77.775   100.779   0.000E+00    50.810    29.211    25.936
    82.500    77.590    63.992    77.657   100.626   0.000E+00    50.732    29.164    25.897
    82.750    77.473    63.893    77.540   100.473   0.000E+00    50.655    29.118    25.858
    83.000    77.356    63.795    77.423   100.320   0.000E+00    50.578    29.071    25.819
    83.250    77.240    63.698    77.306   100.168   0.000E+00    50.501    29.025    25.780
    83.500    77.124    63.601    77.190   100.017   0.000E+00    50.425    28.979    25.741
    83.750    77.009    63.504    77.075    99.866   0.000E+00    50.349    28.933    25.703
    84.000    76.894    63.408    76.960    99.717   0.000E+00    50.274    28.887    25.664
    84.250    76.780    63.312    76.845    99.567   0.000E+00    50.198    28.842    25.626
    84.500    76.666    63.217    76.731    99.419   0.000E+00    50.124    28.797    25.588
    84.750    76.553    63.122    76.618    99.271   0.000E+00    50.049    28.752    25.551
    85.000    76.440    63.028    76.505    99.124   0.000E+00    49.975    28.707    25.513
    85.250    76.328    62.934    76.393    98.978   0.000E+00    49.901    28.663    25.475
    85.500    76.217    62.840    76.282    98.832   0.000E+00    49.828    28.619    25.438
    85.750    76.105    62.747    76.171    98.687   0.000E+00    49.754    28.574    25.401
    86.000    75.995    62.655    76.060    98.543   0.000E+00    49.682    28.531    25.364
    86.250    75.884    62.562    75.950    98.400   0.000E+00    49.609    28.487    25.327
    86.500    75.775    62.470    75.841    98.257   0.000E+00    49.537    28.443    25.291
    86.750    75.665    62.379    75.732    98.115   0.000E+00    49.465    28.400    25.254
    87.000    75.557    62.288    75.623    97.972   0.000E+00    49.393    28.357    25.218
    87.250    75.448    62.197    75.514    97.831   0.000E+00    49.322    28.314    25.182
    87.500    75.340    62.107    75.406    97.690   0.000E+00    49.251    28.272    25.146
    87.750    75.233    62.017    75.298    97.550   0.000E+00    49.180    28.229    25.110
    88.000    75.126    61.928    75.191    97.410   0.000E+00    49.110    28.187    25.074
    88.250    75.020    61.839    75.084    97.271   0.000E+00    49.040    28.145    25.039
    88.500    74.914    61.750    74.978    97.133   0.000E+00    48.970    28.103    25.003
    88.750    74.808    61.662    74.872    96.995   0.000E+00    48.901    28.062    24.968
    89.000    74.703    61.574    74.766    96.857   0.000E+00    48.832    28.020    24.933
    89.250    74.598    61.486    74.661    96.721   0.000E+00    48.763    27.979    24.898
    89.500    74.494    61.399    74.557    96.585   0.000E+00    48.694    27.938    24.863
    89.750    74.390    61.312    74.453    96.449   0.000E+00    48.626    27.897    24.829
    90.000    74.287    61.226    74.349    96.314   0.000E+00    48.558    27.856    24.794
    90.250    74.184    61.140    74.246    96.180   0.000E+00    48.490    27.816    24.760
    90.500    74.081    61.054    74.144    96.046   0.000E+00    48.423    27.775    24.726
    90.750    73.979    60.969    74.041    95.913   0.000E+00    48.356    27.735    24.692
    91.000    73.877    60.884    73.940    95.781   0.000E+00    48.289    27.695    24.658
    91.250    73.776    60.799    73.839    95.649   0.000E+00    48.223    27.655    24.624
    91.500    73.675    60.715    73.738    95.518   0.000E+00    48.156    27.616    24.590
    91.750    73.575    60.631    73.638    95.387   0.000E+00    48.090    27.576    24.557
    92.000    73.475    60.548    73.538    95.257   0.000E+00    48.024    27.537    24.523
    92.250    73.375    60.465    73.439    95.128   0.000E+00    47.959    27.498    24.490
    92.500    73.276    60.382    73.340    94.999   0.000E+00    47.894    27.459    24.457
    92.750    73.177    60.299    73.241    94.870   0.000E+00    47.829    27.420    24.424
    93.000    73.079    60.217    73.143    94.742   0.000E+00    47.764    27.382    24.391
    93.250    72.981    60.135    73.045    94.614   0.000E+00    47.700    27.343    24.358
    93.500    72.883    60.054    72.947    94.487   0.000E+00    47.636    27.305    24.326
    93.750    72.786    59.973    72.850    94.360   0.000E+00    47.572    27.267    24.293
    94.000    72.689    59.892    72.752    94.233   0.000E+00    47.508    27.229    24.261
    94.250    72.593    59.811    72.655    94.107   0.000E+00    47.445    27.191    24.229
    94.500    72.496    59.731    72.559    93.982   0.000E+00    47.382    27.154    24.197
    94.750    72.401    59.651    72.462    93.857   0.000E+00    47.319    27.116    24.165
    95.000    72.305    59.572    72.366    93.732   0.000E+00    47.256    27.079    24.133
    95.250    72.210    59.493    72.271    93.608   0.000E+00    47.194    27.042    24.101
    95.500    72.116    59.414    72.176    93.485   0.000E+00    47.132    27.005    24.070
    95.750    72.022    59.335    72.082    93.362   0.000E+00    47.070    26.968    24.038
    96.000    71.928    59.257    71.988    93.240   0.000E+00    47.008    26.931    24.007
    96.250    71.834    59.179    71.894    93.118   0.000E+00    46.947    26.895    23.976
    96.500    71.741    59.102    71.801    92.997   0.000E+00    46.886    26.858    23.945
    96.750    71.648    59.024    71.708    92.876   0.000E+00    46.825    26.822    23.914
    97.000    71.556    58.947    71.616    92.755   0.000E+00    46.764    26.786    23.883
    97.250    71.464    58.871    71.523    92.636   0.000E+00    46.704    26.750    23.852
    97.500    71.372    58.794    71.432    92.516   0.000E+00    46.644    26.715    23.822
    97.750    71.281    58.718    71.340    92.397   0.000E+00    46.584    26.679    23.791
    98.000    71.190    58.642    71.249    92.278   0.000E+00    46.524    26.644    23.761
    98.250    71.099    58.567    71.158    92.160   0.000E+00    46.464    26.608    23.731
    98.500    71.009    58.492    71.068    92.043   0.000E+00    46.405    26.573    23.701
    98.750    70.919    58.417    70.978    91.926   0.000E+00    46.346    26.538    23.670
    99.000    70.830    58.342    70.888    91.809   0.000E+00    46.287    26.503    23.641
    99.250    70.740    58.268    70.799    91.693   0.000E+00    46.229    26.468    23.611
    99.500    70.651    58.194    70.710    91.577   0.000E+00    46.170    26.434    23.581
    99.750    70.563    58.120    70.622    91.462   0.000E+00    46.112    26.399    23.552
   100.000    70.475    58.046    70.534    91.348   0.000E+00    46.054    26.365    23.522
   100.250    70.387    57.973    70.446    91.233   0.000E+00    45.996    26.331    23.493
   100.500    70.299    57.900    70.359    91.120   0.000E+00    45.939    26.297    23.463
   100.750    70.212    57.827    70.272    91.006   0.000E+00    45.881    26.263    23.434
   101.000    70.125    57.755    70.186    90.894   0.000E+00    45.824    26.229    23.405
   101.250    70.038    57.683    70.099    90.781   0.000E+00    45.767    26.195    23.376
   101.500    69.952    57.611    70.014    90.669   0.000E+00    45.711    26.162    23.347
   101.750    69.866    57.539    69.928    90.558   0.362E-16    45.654    26.128    23.319
   102.000    69.780    57.468    69.842    90.446   0.000E+00    45.598    26.095    23.290
   102.250    69.695    57.397    69.757    90.335   0.000E+00    45.542    26.062    23.262
   102.500    69.610    57.326    69.672    90.224   0.000E+00    45.486    26.029    23.233
   102.750    69.525    57.255    69.587    90.114   0.000E+00    45.430    25.996    23.205
   103.000    69.441    57.185    69.502    90.004   0.000E+00    45.375    25.963    23.177
   103.250    69.357    57.115    69.418    89.894   0.000E+00    45.319    25.930    23.148
   103.500    69.273    57.045    69.334    89.785   0.000E+00    45.264    25.898    23.120
   103.750    69.189    56.975    69.251    89.676   0.000E+00    45.209    25.865    23.093
   104.000    69.106    56.906    69.167    89.568   0.000E+00    45.155    25.833    23.065
   104.250    69.023    56.837    69.085    89.460   0.000E+00    45.100    25.801    23.037
   104.500    68.940    56.768    69.002    89.352   0.000E+00    45.046    25.769    23.009
   104.750    68.858    56.699    68.919    89.245   0.000E+00    44.992    25.737    22.982
   105.000    68.776    56.631    68.837    89.138   0.000E+00    44.938    25.705    22.954
   105.250    68.694    56.563    68.756    89.032   0.000E+00    44.884    25.673    22.927
   105.500    68.613    56.495    68.674    88.926   0.000E+00    44.830    25.642    22.900
   105.750    68.532    56.427    68.593    88.820   0.000E+00    44.777    25.610    22.873
   106.000    68.451    56.360    68.512    88.715   0.000E+00    44.724    25.579    22.846
   106.250    68.370    56.293    68.431    88.610   0.000E+00    44.671    25.548    22.819
   106.500    68.290    56.226    68.351    88.505   0.000E+00    44.618    25.517    22.792
   106.750    68.210    56.159    68.271    88.401   0.000E+00    44.566    25.486    22.765
   107.000    68.130    56.093    68.191    88.297   0.000E+00    44.513    25.455    22.738
   107.250    68.051    56.027    68.111    88.194   0.000E+00    44.461    25.424    22.712
   107.500    67.972    55.961    68.032    88.091   0.000E+00    44.409    25.393    22.685
   107.750    67.893    55.895    67.953    87.988   0.000E+00    44.357    25.363    22.659
   108.000    67.814    55.829    67.875    87.886   0.000E+00    44.305    25.332    22.633
   108.250    67.736    55.764    67.796    87.784   0.000E+00    44.254    25.302    22.606
   108.500    67.658    55.699    67.718    87.682   0.000E+00    44.202    25.272    22.580
   108.750    67.580    55.634    67.640    87.581   0.000E+00    44.151    25.242    22.554
   109.000    67.502    55.570    67.562    87.480   0.000E+00    44.100    25.212    22.528
   109.250    67.425    55.505    67.485    87.379   0.000E+00    44.050    25.182    22.503
   109.500    67.348    55.441    67.408    87.279   0.000E+00    43.999    25.152    22.477
   109.750    67.271    55.378    67.331    87.179   0.000E+00    43.949    25.122    22.451
   110.000    67.195    55.314    67.255    87.079   0.000E+00    43.898    25.093    22.426
   110.250    67.119    55.250    67.178    86.980   0.000E+00    43.848    25.063    22.400
   110.500    67.043    55.187    67.102    86.881   0.000E+00    43.798    25.034    22.375
   110.750    66.967    55.124    67.027    86.783   0.000E+00    43.749    25.005    22.349
   111.000    66.892    55.062    66.951    86.685   0.000E+00    43.699    24.976    22.324
   111.250    66.816    54.999    66.876    86.587   0.000E+00    43.650    24.947    22.299
   111.500    66.741    54.937    66.801    86.489   0.000E+00    43.600    24.918    22.274
   111.750    66.667    54.875    66.726    86.392   0.000E+00    43.551    24.889    22.249
   112.000    66.592    54.813    66.651    86.295   0.000E+00    43.503    24.860    22.224
   112.250    66.518    54.751    66.577    86.199   0.000E+00    43.454    24.832    22.199
   112.500    66.444    54.690    66.503    86.102   0.000E+00    43.405    24.803    22.175
   112.750    66.370    54.628    66.429    86.007   0.000E+00    43.357    24.775    22.150
   113.000    66.297    54.567    66.356    85.911   0.000E+00    43.309    24.747    22.126
   113.250    66.224    54.507    66.283    85.816   0.000E+00    43.261    24.719    22.101
   113.500    66.151    54.446    66.210    85.721   0.000E+00    43.213    24.691    22.077
   113.750    66.078    54.386    66.137    85.626   0.000E+00    43.165    24.663    22.053
   114.000    66.005    54.326    66.064    85.532   0.000E+00    43.118    24.635    22.028
   114.250    65.933    54.266    65.992    85.438   0.000E+00    43.070    24.607    22.004
   114.500    65.861    54.206    65.920    85.345   0.000E+00    43.023    24.579    21.980
   114.750    65.789    54.146    65.848    85.251   0.000E+00    42.976    24.552    21.956
   115.000    65.718    54.087    65.776    85.158   0.000E+00    42.929    24.524    21.932
   115.250    65.647    54.028    65.705    85.066   0.000E+00    42.883    24.497    21.909
   115.500    65.575    53.969    65.634    84.973   0.000E+00    42.836    24.470    21.885
   115.750    65.505    53.910    65.563    84.881   0.000E+00    42.790    24.443    21.861
   116.000    65.434    53.852    65.492    84.789   0.000E+00    42.743    24.415    21.838
   116.250    65.364    53.793    65.422    84.698   0.000E+00    42.697    24.389    21.814
   116.500    65.293    53.735    65.352    84.607   0.000E+00    42.651    24.362    21.791
   116.750    65.223    53.677    65.282    84.516   0.000E+00    42.606    24.335    21.768
   117.000    65.154    53.620    65.212    84.425   0.000E+00    42.560    24.308    21.744
   117.250    65.084    53.562    65.142    84.335   0.000E+00    42.515    24.282    21.721
   117.500    65.015    53.505    65.073    84.245   0.000E+00    42.469    24.255    21.698
   117.750    64.946    53.448    65.004    84.155   0.000E+00    42.424    24.229    21.675
   118.000    64.877    53.391    64.935    84.066   0.000E+00    42.379    24.202    21.652
   118.250    64.808    53.334    64.866    83.977   0.000E+00    42.334    24.176    21.630
   118.500    64.740    53.277    64.798    83.888   0.000E+00    42.290    24.150    21.607
   118.750    64.672    53.221    64.729    83.800   0.000E+00    42.245    24.124    21.584
   119.000    64.604    53.165    64.661    83.711   0.000E+00    42.201    24.098    21.561
   119.250    64.536    53.109    64.594    83.623   0.000E+00    42.156    24.072    21.539
   119.500    64.469    53.053    64.526    83.536   0.000E+00    42.112    24.046    21.516
   119.750    64.401    52.997    64.459    83.448   0.000E+00    42.068    24.021    21.494
   120.000    64.334    52.942    64.391    83.361   0.000E+00    42.024    23.995    21.472
   120.250    64.267    52.887    64.324    83.275   0.000E+00    41.981    23.970    21.450
   120.500    64.201    52.832    64.258    83.188   0.000E+00    41.937    23.944    21.427
   120.750    64.134    52.777    64.191    83.102   0.000E+00    41.894    23.919    21.405
   121.000    64.068    52.722    64.125    83.016   0.000E+00    41.851    23.894    21.383
   121.250    64.002    52.668    64.059    82.930   0.000E+00    41.807    23.869    21.361
   121.500    63.936    52.613    63.993    82.845   0.000E+00    41.764    23.844    21.339
   121.750    63.870    52.559    63.927    82.759   0.000E+00    41.722    23.819    21.318
   122.000    63.805    52.505    63.861    82.675   0.000E+00    41.679    23.794    21.296
   122.250    63.739    52.451    63.796    82.590   0.000E+00    41.636    23.769    21.274
   122.500    63.674    52.398    63.731    82.506   0.000E+00    41.594    23.744    21.253
   122.750    63.609    52.344    63.666    82.421   0.000E+00    41.552    23.720    21.231
   123.000    63.545    52.291    63.601    82.338   0.000E+00    41.510    23.695    21.210
   123.250    63.480    52.238    63.537    82.254   0.000E+00    41.468    23.670    21.188
   123.500    63.416    52.185    63.472    82.171   0.000E+00    41.426    23.646    21.167
   123.750    63.352    52.132    63.408    82.088   0.000E+00    41.384    23.622    21.146
   124.000    63.288    52.080    63.344    82.005   0.000E+00    41.342    23.598    21.124
   124.250    63.224    52.027    63.281    81.922   0.000E+00    41.301    23.573    21.103
   124.500    63.161    51.975    63.217    81.840   0.000E+00    41.260    23.549    21.082
   124.750    63.098    51.923    63.154    81.758   0.000E+00    41.218    23.525    21.061
   125.000    63.034    51.871    63.090    81.676   0.000E+00    41.177    23.501    21.040
   125.250    62.971    51.819    63.027    81.595   0.000E+00    41.136    23.478    21.019
   125.500    62.909    51.767    62.965    81.513   0.000E+00    41.096    23.454    20.999
   125.750    62.846    51.716    62.902    81.432   0.000E+00    41.055    23.430    20.978
   126.000    62.784    51.665    62.840    81.351   0.000E+00    41.014    23.407    20.957
   126.250    62.722    51.614    62.777    81.271   0.000E+00    40.974    23.383    20.937
   126.500    62.660    51.563    62.715    81.191   0.000E+00    40.933    23.360    20.916
   126.750    62.598    51.512    62.653    81.110   0.000E+00    40.893    23.336    20.896
   127.000    62.536    51.461    62.592    81.031   0.000E+00    40.853    23.313    20.875
   127.250    62.475    51.411    62.530    80.951   0.000E+00    40.813    23.290    20.855
   127.500    62.413    51.360    62.469    80.872   0.000E+00    40.773    23.266    20.835
   127.750    62.352    51.310    62.408    80.793   0.000E+00    40.734    23.243    20.814
   128.000    62.291    51.260    62.347    80.714   0.000E+00    40.694    23.220    20.794
   128.250    62.231    51.210    62.286    80.635   0.000E+00    40.655    23.197    20.774
   128.500    62.170    51.160    62.225    80.557   0.000E+00    40.615    23.175    20.754
   128.750    62.110    51.111    62.165    80.478   0.000E+00    40.576    23.152    20.734
   129.000    62.049    51.061    62.105    80.401   0.000E+00    40.537    23.129    20.714
   129.250    61.989    51.012    62.045    80.323   0.000E+00    40.498    23.106    20.694
   129.500    61.930    50.963    61.985    80.245   0.000E+00    40.459    23.084    20.674
   129.750    61.870    50.914    61.925    80.168   0.000E+00    40.420    23.061    20.655
   130.000    61.810    50.865    61.865    80.091   0.000E+00    40.382    23.039    20.635
   130.250    61.751    50.816    61.806    80.014   0.000E+00    40.343    23.016    20.615
   130.500    61.692    50.768    61.747    79.938   0.000E+00    40.305    22.994    20.596
   130.750    61.633    50.719    61.688    79.861   0.000E+00    40.266    22.972    20.576
   131.000    61.574    50.671    61.629    79.785   0.000E+00    40.228    22.950    20.557
   131.250    61.515    50.623    61.570    79.709   0.000E+00    40.190    22.928    20.537
   131.500    61.457    50.575    61.511    79.633   0.000E+00    40.152    22.905    20.518
   131.750    61.398    50.527    61.453    79.558   0.000E+00    40.114    22.883    20.499
   132.000    61.340    50.479    61.395    79.483   0.000E+00    40.076    22.862    20.479
   132.250    61.282    50.432    61.337    79.408   0.000E+00    40.039    22.840    20.460
   132.500    61.224    50.384    61.279    79.333   0.000E+00    40.001    22.818    20.441
   132.750    61.167    50.337    61.221    79.258   0.000E+00    39.964    22.796    20.422
   133.000    61.109    50.290    61.164    79.184   0.000E+00    39.926    22.774    20.403
   133.250    61.052    50.243    61.106    79.109   0.000E+00    39.889    22.753    20.384
   133.500    60.995    50.196    61.049    79.035   0.000E+00    39.852    22.731    20.365
   133.750    60.938    50.149    60.992    78.961   0.000E+00    39.815    22.710    20.346
   134.000    60.881    50.102    60.935    78.888   0.000E+00    39.778    22.688    20.327
   134.250    60.824    50.056    60.878    78.814   0.000E+00    39.741    22.667    20.308
   134.500    60.767    50.009    60.822    78.741   0.000E+00    39.704    22.646    20.290
   134.750    60.711    49.963    60.765    78.668   0.000E+00    39.667    22.624    20.271
   135.000    60.655    49.917    60.709    78.595   0.000E+00    39.631    22.603    20.252
   135.250    60.599    49.871    60.653    78.523   0.000E+00    39.594    22.582    20.234
   135.500    60.543    49.825    60.597    78.450   0.000E+00    39.558    22.561    20.215
   135.750    60.487    49.779    60.541    78.378   0.000E+00    39.522    22.540    20.197
   136.000    60.431    49.733    60.485    78.306   0.000E+00    39.486    22.519    20.178
   136.250    60.376    49.688    60.430    78.234   0.000E+00    39.450    22.498    20.160
   136.500    60.321    49.642    60.374    78.163   0.000E+00    39.414    22.477    20.141
   136.750    60.266    49.597    60.319    78.091   0.000E+00    39.378    22.456    20.123
   137.000    60.210    49.551    60.264    78.020   0.000E+00    39.342    22.436    20.105
   137.250    60.156    49.506    60.209    77.949   0.000E+00    39.306    22.415    20.087
   137.500    60.101    49.461    60.154    77.878   0.000E+00    39.271    22.394    20.069
   137.750    60.046    49.416    60.100    77.807   0.000E+00    39.235    22.374    20.050
   138.000    59.992    49.372    60.045    77.737   0.000E+00    39.200    22.353    20.032
   138.250    59.938    49.327    59.991    77.666   0.000E+00    39.164    22.333    20.014
   138.500    59.884    49.282    59.937    77.596   0.000E+00    39.129    22.312    19.996
   138.750    59.830    49.238    59.883    77.526   0.000E+00    39.094    22.292    19.978
   139.000    59.776    49.194    59.829    77.457   0.000E+00    39.059    22.271    19.961
   139.250    59.722    49.149    59.775    77.387   0.000E+00    39.024    22.251    19.943
   139.500    59.669    49.105    59.722    77.318   0.000E+00    38.989    22.231    19.925
   139.750    59.615    49.061    59.668    77.248   0.000E+00    38.954    22.211    19.907
   140.000    59.562    49.017    59.615    77.179   0.000E+00    38.919    22.191    19.889
   140.250    59.509    48.973    59.562    77.110   0.000E+00    38.884    22.170    19.872
   140.500    59.456    48.930    59.509    77.042   0.000E+00    38.850    22.150    19.854
   140.750    59.403    48.886    59.456    76.973   0.000E+00    38.815    22.130    19.836
   141.000    59.350    48.843    59.403    76.905   0.000E+00    38.781    22.110    19.819
   141.250    59.298    48.799    59.351    76.836   0.000E+00    38.746    22.091    19.801
   141.500    59.245    48.756    59.298    76.768   0.000E+00    38.712    22.071    19.784
   141.750    59.193    48.713    59.246    76.701   0.000E+00    38.678    22.051    19.766
   142.000    59.141    48.670    59.194    76.633   0.000E+00    38.644    22.031    19.749
   142.250    59.089    48.626    59.142    76.565   0.000E+00    38.610    22.011    19.732
   142.500    59.037    48.584    59.090    76.498   0.000E+00    38.576    21.992    19.714
   142.750    58.985    48.541    59.038    76.431   0.000E+00    38.542    21.972    19.697
   143.000    58.934    48.498    58.986    76.364   0.000E+00    38.508    21.952    19.680
   143.250    58.882    48.455    58.935    76.297   0.000E+00    38.474    21.933    19.662
   143.500    58.831    48.413    58.883    76.230   0.000E+00    38.440    21.913    19.645
   143.750    58.780    48.370    58.832    76.164   0.000E+00    38.407    21.894    19.628
   144.000    58.729    48.328    58.781    76.097   0.000E+00    38.373    21.874    19.611
   144.250    58.678    48.285    58.730    76.031   0.000E+00    38.340    21.855    19.594
   144.500    58.627    48.243    58.679    75.965   0.000E+00    38.306    21.835    19.577
   144.750    58.576    48.201    58.629    75.899   0.000E+00    38.273    21.816    19.560
   145.000    58.526    48.159    58.578    75.833   0.000E+00    38.239    21.797    19.543
   145.250    58.476    48.117    58.528    75.768   0.000E+00    38.206    21.777    19.526
   145.500    58.425    48.075    58.477    75.702   0.000E+00    38.173    21.758    19.509
   145.750    58.375    48.033    58.427    75.637   0.000E+00    38.140    21.739    19.492
   146.000    58.325    47.991    58.377    75.572   0.000E+00    38.107    21.720    19.475
   146.250    58.275    47.950    58.327    75.507   0.000E+00    38.074    21.701    19.458
   146.500    58.226    47.908    58.277    75.442   0.000E+00    38.041    21.682    19.442
   146.750    58.176    47.867    58.228    75.377   0.000E+00    38.008    21.663    19.425
   147.000    58.126    47.825    58.178    75.312   0.000E+00    37.975    21.644    19.408
   147.250    58.077    47.784    58.129    75.248   0.000E+00    37.943    21.625    19.392
   147.500    58.028    47.742    58.079    75.184   0.000E+00    37.910    21.606    19.375
   147.750    57.979    47.701    58.030    75.119   0.000E+00    37.877    21.587    19.358
   148.000    57.930    47.660    57.981    75.055   0.000E+00    37.845    21.568    19.342
   148.250    57.881    47.619    57.932    74.992   0.000E+00    37.812    21.549    19.325
   148.500    57.832    47.578    57.884    74.928   0.000E+00    37.780    21.530    19.308
   148.750    57.784    47.537    57.835    74.864   0.000E+00    37.747    21.511    19.292
   149.000    57.735    47.496    57.786    74.801   0.000E+00    37.715    21.492    19.275
   149.250    57.687    47.455    57.738    74.737   0.000E+00    37.683    21.474    19.259
   149.500    57.638    47.415    57.690    74.674   0.000E+00    37.650    21.455    19.243
   149.750    57.590    47.374    57.642    74.611   0.000E+00    37.618    21.436    19.226
   150.000    57.542    47.333    57.593    74.548   0.000E+00    37.586    21.418    19.210
   150.250    57.494    47.293    57.546    74.485   0.000E+00    37.554    21.399    19.193
   150.500    57.447    47.252    57.498    74.423   0.000E+00    37.522    21.380    19.177
   150.750    57.399    47.212    57.450    74.360   0.000E+00    37.490    21.362    19.161
   151.000    57.351    47.171    57.402    74.298   0.000E+00    37.458    21.343    19.144
   151.250    57.304    47.131    57.355    74.236   0.000E+00    37.426    21.325    19.128
   151.500    57.257    47.091    57.308    74.173   0.000E+00    37.394    21.306    19.112
   151.750    57.209    47.050    57.260    74.111   0.000E+00    37.362    21.288    19.096
   152.000    57.162    47.010    57.213    74.049   0.000E+00    37.330    21.269    19.079
   152.250    57.115    46.970    57.166    73.988   0.000E+00    37.299    21.251    19.063
   152.500    57.069    46.964    57.119    73.948   0.000E+00    37.294    21.248    19.061
   152.750    57.022    46.964    57.073    73.912   0.000E+00    37.294    21.248    19.061
   153.000    56.975    46.964    57.026    73.876   0.000E+00    37.294    21.248    19.061
   153.250    56.929    46.964    56.979    73.840   0.000E+00    37.294    21.248    19.061
   153.500    56.882    46.964    56.933    73.804   0.000E+00    37.294    21.248    19.061
   153.750    56.836    46.964    56.887    73.768   0.000E+00    37.294    21.248    19.061
   154.000    56.790    46.964    56.841    73.732   0.000E+00    37.294    21.248    19.061
   154.250    56.744    46.964    56.794    73.697   0.000E+00    37.294    21.248    19.061
   154.500    56.698    46.964    56.749    73.662   0.000E+00    37.294    21.248    19.061
   154.750    56.652    46.964    56.703    73.626   0.000E+00    37.294    21.248    19.061
   155.000    56.607    46.964    56.657    73.591   0.000E+00    37.294    21.248    19.061
   155.250    56.561    46.964    56.611    73.556   0.000E+00    37.294    21.248    19.061
   155.500    56.515    46.964    56.566    73.521   0.000E+00    37.294    21.248    19.061
   155.750    56.470    46.964    56.520    73.486   0.000E+00    37.294    21.248    19.061
   156.000    56.425    46.964    56.475    73.451   0.000E+00    37.294    21.248    19.061
   156.250    56.380    46.964    56.430    73.416   0.000E+00    37.294    21.248    19.061
   156.500    56.335    46.964    56.385    73.382   0.000E+00    37.294    21.248    19.061
   156.750    56.290    46.964    56.340    73.347   0.000E+00    37.294    21.248    19.061
   157.000    56.245    46.964    56.295    73.313   0.000E+00    37.294    21.248    19.061
   157.250    56.200    46.964    56.250    73.278   0.000E+00    37.294    21.248    19.061
   157.500    56.155    46.964    56.205    73.244   0.000E+00    37.294    21.248    19.061
